file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\Users\kotad\OneDrive\Desktop\SE Project 1\project-1-team-27\app\src\main\java\org\apache\roller\weblogger\business\search\lucene\RemoveEntryOperation.java,org.apache.roller.weblogger.business.search.lucene.RemoveEntryOperation,"RemoveEntryOperation/3[org.apache.roller.weblogger.business.Weblogger,org.apache.roller.weblogger.business.search.lucene.LuceneIndexManager,org.apache.roller.weblogger.pojos.WeblogEntry]",true,55,3,1,1,0,1,0,5,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,7,1,0,false
C:\Users\kotad\OneDrive\Desktop\SE Project 1\project-1-team-27\app\src\main\java\org\apache\roller\weblogger\business\search\lucene\RemoveEntryOperation.java,org.apache.roller.weblogger.business.search.lucene.RemoveEntryOperation,doRun/0,false,65,6,5,0,5,4,7,23,1,3,0,7,0,0,0,1,2,0,2,0,4,0,2,0,0,0,27,1,2,false
C:\Users\kotad\OneDrive\Desktop\SE Project 1\project-1-team-27\app\src\main\java\org\apache\roller\weblogger\util\RollerMessages.java,org.apache.roller.weblogger.util.RollerMessages$RollerMessage,setArgs/1[java.lang.String[]],false,104,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0,false
C:\Users\kotad\OneDrive\Desktop\SE Project 1\project-1-team-27\app\src\main\java\org\apache\roller\weblogger\util\RollerMessages.java,org.apache.roller.weblogger.util.RollerMessages$RollerMessage,getArgs/0,false,100,0,3,3,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\Users\kotad\OneDrive\Desktop\SE Project 1\project-1-team-27\app\src\main\java\org\apache\roller\weblogger\util\RollerMessages.java,org.apache.roller.weblogger.util.RollerMessages$RollerMessage,setKey/1[java.lang.String],false,112,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0,false
C:\Users\kotad\OneDrive\Desktop\SE Project 1\project-1-team-27\app\src\main\java\org\apache\roller\weblogger\util\RollerMessages.java,org.apache.roller.weblogger.util.RollerMessages$RollerMessage,getKey/0,false,108,0,4,4,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\Users\kotad\OneDrive\Desktop\SE Project 1\project-1-team-27\app\src\main\java\org\apache\roller\weblogger\util\RollerMessages.java,org.apache.roller.weblogger.util.RollerMessages$RollerMessage,"RollerMessage/2[java.lang.String,java.lang.String[]]",true,95,0,6,6,0,1,0,4,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,7,1,0,false
C:\Users\kotad\OneDrive\Desktop\SE Project 1\project-1-team-27\app\src\main\java\org\apache\roller\weblogger\config\runtime\RuntimeConfigDefs.java,org.apache.roller.weblogger.config.runtime.RuntimeConfigDefs,removeConfigDef/1[org.apache.roller.weblogger.config.runtime.ConfigDef],false,53,1,0,0,0,1,1,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
C:\Users\kotad\OneDrive\Desktop\SE Project 1\project-1-team-27\app\src\main\java\org\apache\roller\weblogger\config\runtime\RuntimeConfigDefs.java,org.apache.roller.weblogger.config.runtime.RuntimeConfigDefs,getConfigDefs/0,false,58,1,3,3,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
C:\Users\kotad\OneDrive\Desktop\SE Project 1\project-1-team-27\app\src\main\java\org\apache\roller\weblogger\config\runtime\RuntimeConfigDefs.java,org.apache.roller.weblogger.config.runtime.RuntimeConfigDefs,RuntimeConfigDefs/0,true,40,1,1,1,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,false
