Project Name,Package Name,Type Name,Method Name,Code Smell
app,org.apache.roller.planet.business,PlanetManager,getEntries,Long Parameter List
app,org.apache.roller.planet.business,EntryFunctionalTests,testEntryLookups,Magic Number
app,org.apache.roller.planet.business,EntryFunctionalTests,testEntryLookups,Magic Number
app,org.apache.roller.planet.business,EntryFunctionalTests,testEntryLookups,Magic Number
app,org.apache.roller.planet.business,EntryFunctionalTests,testEntryLookups,Magic Number
app,org.apache.roller.planet.business,EntryFunctionalTests,testEntryLookups,Magic Number
app,org.apache.roller.planet.business,EntryFunctionalTests,testEntryLookups,Magic Number
app,org.apache.roller.planet.business,EntryFunctionalTests,testDeleteEntries,Magic Number
app,org.apache.roller.planet.business,GroupFunctionalTests,testGroupLookups,Magic Number
app,org.apache.roller.planet.business,PlanetFunctionalTests,testPlanetLookups,Magic Number
app,org.apache.roller.planet.business,SubscriptionFunctionalTests,testSubscriptionLookups,Magic Number
app,org.apache.roller.planet.business,SubscriptionFunctionalTests,testSubscriptionGroupCRUD,Magic Number
app,org.apache.roller.planet.business.fetcher,RomeFeedFetcher,RomeFeedFetcher,Magic Number
app,org.apache.roller.planet.business.fetcher,RomeFeedFetcher,fetchSubscription,Complex Conditional
app,org.apache.roller.planet.business.fetcher,RomeFeedFetcher,fetchSubscription,Complex Method
app,org.apache.roller.planet.business.fetcher,RomeFeedFetcher,buildEntry,Complex Method
app,org.apache.roller.planet.business.jpa,JPAPlanetImpl,JPAPlanetImpl,Long Parameter List
app,org.apache.roller.planet.business.jpa,JPAPlanetManagerImpl,getGroup,Magic Number
app,org.apache.roller.planet.business.jpa,JPAPlanetManagerImpl,getEntries,Long Parameter List
app,org.apache.roller.planet.business.jpa,JPAPlanetManagerImpl,getEntries,Long Statement
app,org.apache.roller.planet.business.updater,SingleThreadedFeedUpdater,updateSubscription,Complex Conditional
app,org.apache.roller.planet.business.updater,SingleThreadedFeedUpdater,updateSubscription,Long Statement
app,org.apache.roller.planet.business.updater,SingleThreadedFeedUpdater,updateSubscription,Long Statement
app,org.apache.roller.planet.pojos,PlanetGroup,getRecentEntries,Magic Number
app,org.apache.roller.planet.util,MailUtil,sendMessage,Complex Method
app,org.apache.roller.planet.util,MailUtil,sendMessage,Long Parameter List
app,org.apache.roller.planet.util,MailUtil,sendTextMessage,Long Parameter List
app,org.apache.roller.planet.util,MailUtil,sendTextMessage,Long Parameter List
app,org.apache.roller.planet.util,MailUtil,sendTextMessage,Long Parameter List
app,org.apache.roller.planet.util,MailUtil,sendHTMLMessage,Long Parameter List
app,org.apache.roller.planet.util,MailUtil,sendHTMLMessage,Long Parameter List
app,org.apache.roller.planet.util,MailUtil,sendHTMLMessage,Long Parameter List
app,org.apache.roller.util,DateUtil,getNoonOfDay,Magic Number
app,org.apache.roller.util,DateUtil,formatIso8601,Magic Number
app,org.apache.roller.util,DateUtil,formatIso8601,Magic Number
app,org.apache.roller.util,DateUtil,parseWeblogURLDateString,Complex Conditional
app,org.apache.roller.util,DateUtil,parseWeblogURLDateString,Complex Conditional
app,org.apache.roller.util,DateUtil,parseWeblogURLDateString,Magic Number
app,org.apache.roller.util,DateUtil,parseWeblogURLDateString,Magic Number
app,org.apache.roller.util,ISO8601DateParser,parse,Magic Number
app,org.apache.roller.util,ISO8601DateParser,toString,Magic Number
app,org.apache.roller.util,ISO8601DateParser,toString,Magic Number
app,org.apache.roller.util,PropertyExpander,expandProperties,Magic Number
app,org.apache.roller.util,RegexUtil,obfuscateEmail,Magic Number
app,org.apache.roller.util,RegexUtil,obfuscateEmail,Magic Number
app,org.apache.roller.util,RegexUtil,obfuscateEmail,Magic Number
app,org.apache.roller.util,RegexUtil,obfuscateEmail,Magic Number
app,org.apache.roller.util,RegexUtil,obfuscateEmail,Magic Number
app,org.apache.roller.util,RegexUtil,encode,Magic Number
app,org.apache.roller.util,RegexUtil,encode,Magic Number
app,org.apache.roller.util,DerbyManager,startDerby,Empty catch clause
app,org.apache.roller.util,DerbyManager,startDerby,Long Statement
app,org.apache.roller.util,DerbyManager,startDerby,Magic Number
app,org.apache.roller.util,DerbyManager,stopDerby,Empty catch clause
app,org.apache.roller.util,PropertyExpanderTest,testExpansion,Long Statement
app,org.apache.roller.util,PropertyExpanderTest,testExpansion,Long Statement
app,org.apache.roller.util,RegexUtilTest,testHexEmail,Long Statement
app,org.apache.roller.weblogger.business,AbstractURLStrategy,getActionURL,Long Parameter List
app,org.apache.roller.weblogger.business,DatabaseProvider,DatabaseProvider,Long Statement
app,org.apache.roller.weblogger.business,DatabaseProvider,DatabaseProvider,Long Statement
app,org.apache.roller.weblogger.business,DatabaseProvider,DatabaseProvider,Long Statement
app,org.apache.roller.weblogger.business,FileContentManager,canSave,Long Parameter List
app,org.apache.roller.weblogger.business,FileContentManagerImpl,canSave,Long Parameter List
app,org.apache.roller.weblogger.business,FileContentManagerImpl,getDirSize,Complex Conditional
app,org.apache.roller.weblogger.business,FileContentManagerImpl,checkFileType,Complex Method
app,org.apache.roller.weblogger.business,GuiceWebloggerProvider,GuiceWebloggerProvider,Long Statement
app,org.apache.roller.weblogger.business,GuiceWebloggerProvider,GuiceWebloggerProvider,Long Statement
app,org.apache.roller.weblogger.business,HitCountQueue,HitCountQueue,Magic Number
app,org.apache.roller.weblogger.business,MailProvider,getTransport,Complex Conditional
app,org.apache.roller.weblogger.business,MultiWeblogURLStrategy,getWeblogCommentURL,Long Parameter List
app,org.apache.roller.weblogger.business,MultiWeblogURLStrategy,getWeblogCollectionURL,Complex Method
app,org.apache.roller.weblogger.business,MultiWeblogURLStrategy,getWeblogCollectionURL,Long Parameter List
app,org.apache.roller.weblogger.business,MultiWeblogURLStrategy,getWeblogPageURL,Long Parameter List
app,org.apache.roller.weblogger.business,MultiWeblogURLStrategy,getWeblogFeedURL,Long Parameter List
app,org.apache.roller.weblogger.business,MultiWeblogURLStrategy,getWeblogSearchURL,Long Parameter List
app,org.apache.roller.weblogger.business,PreviewURLStrategy,getWeblogCollectionURL,Complex Method
app,org.apache.roller.weblogger.business,PreviewURLStrategy,getWeblogCollectionURL,Long Parameter List
app,org.apache.roller.weblogger.business,PreviewURLStrategy,getWeblogPageURL,Complex Method
app,org.apache.roller.weblogger.business,PreviewURLStrategy,getWeblogPageURL,Long Parameter List
app,org.apache.roller.weblogger.business,TestTask,getLeaseTime,Magic Number
