Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT
app,org.apache.roller.planet.business,AbstractManagerImpl,0,0,3,3,11,3,0,1,-1.0,0,0
app,org.apache.roller.planet.business,BootstrapException,0,0,2,2,11,2,0,0,-1.0,0,0
app,org.apache.roller.planet.business,InitializationException,0,0,2,2,11,2,0,0,-1.0,0,0
app,org.apache.roller.planet.business,Manager,0,0,3,0,17,3,2,0,-1.0,0,0
app,org.apache.roller.planet.business,MultiPlanetURLStrategy,0,0,7,7,89,15,0,1,-1.0,1,1
app,org.apache.roller.planet.business,Planet,0,0,8,0,37,8,0,0,-1.0,17,0
app,org.apache.roller.planet.business,PlanetManager,0,0,25,0,97,25,0,1,-1.0,25,4
app,org.apache.roller.planet.business,PlanetProvider,0,0,2,0,13,2,0,0,-1.0,0,0
app,org.apache.roller.planet.business,PlanetURLStrategy,0,0,7,0,46,7,1,0,-1.0,5,0
app,org.apache.roller.planet.business,EntryBasicTests,1,0,3,3,40,3,0,0,0.0,0,5
app,org.apache.roller.planet.business,EntryFunctionalTests,8,1,4,4,60,4,0,0,0.0,0,7
app,org.apache.roller.planet.business,GroupBasicTests,1,0,3,3,43,3,0,0,0.0,0,5
app,org.apache.roller.planet.business,GroupFunctionalTests,3,0,3,3,33,3,0,0,0.0,0,5
app,org.apache.roller.planet.business,PlanetBasicTests,1,1,1,1,32,1,0,0,0.0,0,4
app,org.apache.roller.planet.business,PlanetFunctionalTests,2,1,3,3,29,3,0,0,0.0,0,4
app,org.apache.roller.planet.business,PropertiesTest,1,1,3,3,38,3,0,0,1.0,0,4
app,org.apache.roller.planet.business,RomeFeedFetcherTest,2,1,4,4,46,4,0,0,0.75,0,4
app,org.apache.roller.planet.business,SingleThreadedFeedUpdaterTest,3,1,3,3,34,3,0,0,0.0,0,5
app,org.apache.roller.planet.business,SubscriptionBasicTests,0,0,1,1,32,1,0,0,-1.0,0,4
