file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\kotad\OneDrive\Desktop\SE Project 1\project-1-team-27\app\src\main\java\org\apache\roller\weblogger\business\search\lucene\RemoveEntryOperation.java,org.apache.roller.weblogger.business.search.lucene.RemoveEntryOperation,class,10,12,2,10,5,3,0,9,0,0.16666667,0.0,0.0,2,0,2,0,0,0,2,0,0,0,3,1,0,3,0,0,0,0,0,33,1,0,1,2,0,2,0,7,0,6,2,0,0,0,45,1,2
C:\Users\kotad\OneDrive\Desktop\SE Project 1\project-1-team-27\app\src\main\java\org\apache\roller\weblogger\util\RollerMessages.java,org.apache.roller.weblogger.util.RollerMessages$RollerMessage,innerclass,0,0,0,0,5,1,0,0,0,0.4,0.0,0.0,5,0,5,0,0,0,5,0,0,0,2,0,0,2,0,0,0,0,0,20,2,0,0,0,0,0,0,4,0,2,0,0,0,0,9,9,0
C:\Users\kotad\OneDrive\Desktop\SE Project 1\project-1-team-27\app\src\main\java\org\apache\roller\weblogger\config\runtime\RuntimeConfigDefs.java,org.apache.roller.weblogger.config.runtime.RuntimeConfigDefs,class,1,6,5,1,6,1,0,2,0,0.0,0.0,0.0,6,0,6,0,0,0,6,0,0,0,1,0,0,1,0,0,0,0,0,21,3,0,0,0,0,0,0,4,0,1,0,0,0,0,18,1,0
C:\Users\kotad\OneDrive\Desktop\SE Project 1\project-1-team-27\app\src\main\java\org\apache\roller\weblogger\ui\rendering\model\UtilitiesModel.java,org.apache.roller.weblogger.ui.rendering.model.UtilitiesModel,class,13,15,2,13,57,1,0,47,827,0.91071427,0.0,0.0,42,1,41,1,0,0,41,0,2,0,4,1,0,4,0,0,1,0,7,177,47,0,11,2,1,5,0,9,0,7,2,0,0,0,181,1,2
C:\Users\kotad\OneDrive\Desktop\SE Project 1\project-1-team-27\app\src\main\java\org\apache\roller\weblogger\business\search\lucene\SearchOperation.java,org.apache.roller.weblogger.business.search.lucene.SearchOperation,class,16,18,2,16,17,3,0,14,33,0.8272728,0.0,0.0,11,0,11,0,0,0,11,0,0,0,10,3,0,10,0,0,2,0,3,77,5,0,4,1,0,1,2,24,0,17,2,0,0,0,79,1,1
C:\Users\kotad\OneDrive\Desktop\SE Project 1\project-1-team-27\app\src\main\java\org\apache\roller\weblogger\ui\struts2\editor\Entries.java,org.apache.roller.weblogger.ui.struts2.editor.Entries,class,10,11,1,10,28,3,0,57,95,0.8777778,0.0,0.0,15,0,14,1,0,0,14,0,0,0,6,2,0,6,0,0,1,0,2,137,10,0,1,2,0,32,5,30,7,20,3,0,0,0,87,1,4
C:\Users\kotad\OneDrive\Desktop\SE Project 1\project-1-team-27\app\src\main\java\org\apache\roller\weblogger\pojos\OAuthConsumerRecord.java,org.apache.roller.weblogger.pojos.OAuthConsumerRecord,class,3,5,2,3,12,1,0,6,39,0.8,0.0,0.0,10,0,10,0,0,0,10,0,0,0,3,0,0,3,0,0,0,0,0,45,8,0,1,0,1,2,0,5,0,5,1,0,0,0,42,1,0
C:\Users\kotad\OneDrive\Desktop\SE Project 1\project-1-team-27\app\src\main\java\org\apache\roller\weblogger\ui\rendering\mobile\MobileDeviceRepository.java,org.apache.roller.weblogger.ui.rendering.mobile.MobileDeviceRepository,class,4,6,2,4,12,1,0,15,3,0.6666667,0.0,0.0,3,3,2,1,0,0,2,0,0,0,4,4,4,0,0,0,4,0,4,39,8,1,4,0,1,28,3,8,2,7,3,0,1,0,320,1,0
C:\Users\kotad\OneDrive\Desktop\SE Project 1\project-1-team-27\app\src\main\java\org\apache\roller\weblogger\business\WeblogManager.java,org.apache.roller.weblogger.business.WeblogManager,interface,6,28,22,6,22,1,0,0,231,0.0,0.0,0.0,22,0,0,0,0,22,22,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133,1,0
C:\Users\kotad\OneDrive\Desktop\SE Project 1\project-1-team-27\app\src\main\java\org\apache\roller\weblogger\ui\rendering\model\CalendarModel.java,org.apache.roller.weblogger.ui.rendering.model.CalendarModel,class,12,13,1,12,11,1,0,13,8,0.6666667,0.0,0.0,5,0,4,1,0,0,4,0,0,0,3,1,0,3,0,0,1,0,0,56,4,0,1,1,0,12,0,13,1,7,2,0,0,0,58,1,1
C:\Users\kotad\OneDrive\Desktop\SE Project 1\project-1-team-27\app\src\main\java\org\apache\roller\weblogger\business\pings\PingTargetManager.java,org.apache.roller.weblogger.business.pings.PingTargetManager,interface,1,8,7,1,8,1,0,0,28,0.0,0.0,0.0,8,0,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,1,0
C:\Users\kotad\OneDrive\Desktop\SE Project 1\project-1-team-27\app\src\main\java\org\apache\roller\planet\business\BootstrapException.java,org.apache.roller.planet.business.BootstrapException,class,1,1,0,1,2,4,0,0,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0
C:\Users\kotad\OneDrive\Desktop\SE Project 1\project-1-team-27\app\src\main\java\org\apache\roller\weblogger\pojos\TemplateRendition.java,org.apache.roller.weblogger.pojos.TemplateRendition$TemplateLanguage,enum,0,0,0,0,2,1,0,0,0,0.0,0.0,0.0,2,0,1,0,0,1,2,0,0,0,1,0,0,1,0,0,1,0,0,8,1,0,0,0,0,1,0,1,0,1,0,0,0,0,15,1,0
C:\Users\kotad\OneDrive\Desktop\SE Project 1\project-1-team-27\app\src\main\java\org\apache\roller\weblogger\util\HTMLSanitizer.java,org.apache.roller.weblogger.util.HTMLSanitizer,class,3,4,1,3,88,1,0,37,118,0.9270833,0.0,0.0,16,16,14,2,0,0,14,0,5,0,12,12,3,9,0,0,9,0,33,320,21,8,10,0,4,112,24,95,35,56,8,0,1,0,182,1,0
C:\Users\kotad\OneDrive\Desktop\SE Project 1\project-1-team-27\app\src\main\java\org\apache\roller\weblogger\business\jpa\JPAAutoPingManagerImpl.java,org.apache.roller.weblogger.business.jpa.JPAAutoPingManagerImpl,class,15,17,2,15,15,1,0,21,0,0.6666667,0.0,0.0,12,0,11,0,1,0,12,0,0,0,3,1,0,3,0,0,3,0,1,59,5,1,0,0,0,6,4,9,1,9,2,0,0,0,51,1,1
C:\Users\kotad\OneDrive\Desktop\SE Project 1\project-1-team-27\app\src\main\java\org\apache\roller\weblogger\ui\core\tags\calendar\CalendarTag.java,org.apache.roller.weblogger.ui.core.tags.calendar.CalendarTag,class,5,7,2,5,39,2,0,42,123,0.85185176,0.0,0.0,18,0,14,4,0,0,14,0,0,0,6,1,0,6,0,0,0,0,4,205,10,4,15,2,5,80,11,37,20,27,5,0,0,0,130,1,2
C:\Users\kotad\OneDrive\Desktop\SE Project 1\project-1-team-27\app\src\main\java\org\apache\roller\weblogger\webservices\tagdata\TagDataServlet.java,org.apache.roller.weblogger.webservices.tagdata.TagDataServlet,class,11,12,1,11,28,2,0,35,1,0.5,0.0,0.0,2,0,1,0,1,0,2,0,0,0,1,1,0,1,0,0,1,0,3,122,6,2,8,2,2,50,15,29,10,24,3,0,0,0,104,1,0
C:\Users\kotad\OneDrive\Desktop\SE Project 1\project-1-team-27\app\src\main\java\org\apache\roller\weblogger\business\GuiceWebloggerProvider.java,org.apache.roller.weblogger.business.GuiceWebloggerProvider,class,4,6,2,4,6,1,0,6,2,0.5,0.0,0.0,4,0,4,0,0,0,4,0,0,0,2,0,0,0,2,0,1,0,3,26,1,0,0,1,0,5,0,4,1,3,1,0,0,0,45,1,0
C:\Users\kotad\OneDrive\Desktop\SE Project 1\project-1-team-27\app\src\main\java\org\apache\roller\weblogger\pojos\WeblogTemplate.java,org.apache.roller.weblogger.pojos.WeblogTemplate,class,12,19,7,12,60,1,0,33,369,0.9078433,0.0,0.0,34,0,34,0,0,0,34,0,0,0,15,3,2,13,0,0,3,0,2,161,24,2,19,0,11,11,1,40,2,18,2,0,0,0,100,1,0
C:\Users\kotad\OneDrive\Desktop\SE Project 1\project-1-team-27\app\src\main\java\org\apache\roller\weblogger\business\jpa\JPAPropertiesManagerImpl.java,org.apache.roller.weblogger.business.jpa.JPAPropertiesManagerImpl,class,12,14,2,12,17,1,0,22,2,0.5,0.0,0.0,8,0,6,1,1,0,7,0,0,0,2,1,0,2,0,0,1,0,1,62,4,5,2,1,0,8,0,8,2,7,4,0,0,0,94,1,2
C:\Users\kotad\OneDrive\Desktop\SE Project 1\project-1-team-27\app\src\main\java\org\apache\roller\weblogger\ui\core\security\RollerRememberMeAuthenticationProvider.java,org.apache.roller.weblogger.ui.core.security.RollerRememberMeAuthenticationProvider,class,4,5,1,4,3,2,0,6,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,2,11,0,0,0,0,0,8,0,1,2,1,1,0,0,0,32,1,2
C:\Users\kotad\OneDrive\Desktop\SE Project 1\project-1-team-27\app\src\main\java\org\apache\roller\weblogger\ui\core\tags\calendar\CalendarModel.java,org.apache.roller.weblogger.ui.core.tags.calendar.CalendarModel,interface,0,3,3,0,10,1,0,0,45,0.0,0.0,0.0,10,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,1,0
C:\Users\kotad\OneDrive\Desktop\SE Project 1\project-1-team-27\app\src\main\java\org\apache\roller\weblogger\ui\rendering\model\PreviewURLModel.java,org.apache.roller.weblogger.ui.rendering.model.PreviewURLModel,class,9,9,0,9,5,2,0,7,0,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,2,0,0,2,0,0,0,0,1,23,1,0,2,0,1,5,0,7,1,3,1,0,0,0,62,1,0
C:\Users\kotad\OneDrive\Desktop\SE Project 1\project-1-team-27\app\src\main\java\org\apache\roller\planet\pojos\Category.java,org.apache.roller.planet.pojos.Category,class,0,1,1,0,2,1,0,0,0,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,9,1,0,0,0,0,0,0,2,0,1,0,0,0,0,11,1,0
C:\Users\kotad\OneDrive\Desktop\SE Project 1\project-1-team-27\app\src\main\java\org\apache\roller\weblogger\business\pings\WeblogUpdatePinger.java,org.apache.roller.weblogger.business.pings.WeblogUpdatePinger,class,8,10,2,8,13,1,0,19,4,0.5,0.0,0.0,4,3,2,2,0,0,2,0,0,0,1,1,1,0,0,0,1,0,2,74,7,0,1,1,1,13,0,9,4,9,2,0,1,0,108,17,3
