Project Name,Package Name,Type Name,Code Smell
java,org.apache.roller.planet.business,AbstractManagerImpl,Unutilized Abstraction
java,org.apache.roller.planet.business,BootstrapException,Unutilized Abstraction
java,org.apache.roller.planet.business,BootstrapException,Broken Hierarchy
java,org.apache.roller.planet.business,InitializationException,Unutilized Abstraction
java,org.apache.roller.planet.business,InitializationException,Broken Hierarchy
java,org.apache.roller.planet.business,Manager,Unutilized Abstraction
java,org.apache.roller.planet.business,PlanetManager,Unutilized Abstraction
java,org.apache.roller.planet.business,PlanetManager,Cyclic-Dependent Modularization
java,org.apache.roller.planet.business,PlanetProvider,Unutilized Abstraction
java,org.apache.roller.planet.business.fetcher,FetcherException,Unutilized Abstraction
java,org.apache.roller.planet.business.fetcher,RomeFeedFetcher,Unutilized Abstraction
java,org.apache.roller.planet.business.jpa,JPAPlanetManagerImpl,Insufficient Modularization
java,org.apache.roller.planet.business.updater,SingleThreadedFeedUpdater,Unutilized Abstraction
java,org.apache.roller.planet.business.updater,UpdaterException,Unutilized Abstraction
java,org.apache.roller.planet.business.updater,UpdaterException,Broken Hierarchy
java,org.apache.roller.planet.config,PlanetRuntimeConfig,Cyclic-Dependent Modularization
java,org.apache.roller.planet.pojos,PlanetGroup,Cyclic-Dependent Modularization
java,org.apache.roller.planet.pojos,PlanetGroup,Insufficient Modularization
java,org.apache.roller.planet.pojos,StaticTemplate,Unutilized Abstraction
java,org.apache.roller.planet.pojos,StaticTemplate,Insufficient Modularization
java,org.apache.roller.planet.pojos,Subscription,Cyclic-Dependent Modularization
java,org.apache.roller.planet.pojos,Subscription,Insufficient Modularization
java,org.apache.roller.planet.pojos,SubscriptionEntry,Cyclic-Dependent Modularization
java,org.apache.roller.planet.pojos,SubscriptionEntry,Insufficient Modularization
java,org.apache.roller.planet.pojos,Template,Unutilized Abstraction
java,org.apache.roller.planet.tasks,GeneratePlanetTask,Unutilized Abstraction
java,org.apache.roller.planet.tasks,GeneratePlanetTask,Broken Hierarchy
java,org.apache.roller.planet.tasks,PlanetTask,Unutilized Abstraction
java,org.apache.roller.planet.tasks,RefreshPlanetTask,Unutilized Abstraction
java,org.apache.roller.planet.tasks,RefreshPlanetTask,Broken Hierarchy
java,org.apache.roller.planet.tasks,StaticPlanetModel,Unutilized Abstraction
java,org.apache.roller.planet.util.rome,ContentModuleGenerator,Unutilized Abstraction
java,org.apache.roller.planet.util.rome,ContentModuleImpl,Unutilized Abstraction
java,org.apache.roller.planet.util.rome,ContentModuleParser,Unutilized Abstraction
java,org.apache.roller.planet.util.rome,PlanetConverterForRSS091N,Unutilized Abstraction
java,org.apache.roller.planet.util.rome,PlanetConverterForRSS091U,Unutilized Abstraction
java,org.apache.roller.planet.util.rome,PlanetConverterForRSS20,Unutilized Abstraction
java,org.apache.roller.planet.util.rome,PlanetRSS091NParser,Unutilized Abstraction
java,org.apache.roller.planet.util.rome,PlanetRSS091UParser,Unutilized Abstraction
java,org.apache.roller,RollerException,Unutilized Abstraction
java,org.apache.roller.util,DateUtil,Deficient Encapsulation
java,org.apache.roller.util,DateUtil,Insufficient Modularization
java,org.apache.roller.util,RegexUtil,Deficient Encapsulation
java,org.apache.roller.util,RollerConstants,Deficient Encapsulation
java,org.apache.roller.weblogger.business,AbstractURLStrategy,Unutilized Abstraction
java,org.apache.roller.weblogger.business,AbstractURLStrategy,Broken Hierarchy
java,org.apache.roller.weblogger.business,AuthorizationService,Unutilized Abstraction
java,org.apache.roller.weblogger.business,AuthorizationServiceImpl,Unutilized Abstraction
