Project Name,Package Name,Type Name,Method Name,Code Smell
java,org.apache.roller.planet.business,PlanetManager,getEntries,Long Parameter List
java,org.apache.roller.planet.business.fetcher,RomeFeedFetcher,RomeFeedFetcher,Magic Number
java,org.apache.roller.planet.business.fetcher,RomeFeedFetcher,fetchSubscription,Complex Conditional
java,org.apache.roller.planet.business.fetcher,RomeFeedFetcher,fetchSubscription,Complex Method
java,org.apache.roller.planet.business.fetcher,RomeFeedFetcher,buildEntry,Complex Method
java,org.apache.roller.planet.business.jpa,JPAPlanetImpl,JPAPlanetImpl,Long Parameter List
java,org.apache.roller.planet.business.jpa,JPAPlanetManagerImpl,getGroup,Magic Number
java,org.apache.roller.planet.business.jpa,JPAPlanetManagerImpl,getEntries,Long Parameter List
java,org.apache.roller.planet.business.jpa,JPAPlanetManagerImpl,getEntries,Long Statement
java,org.apache.roller.planet.business.updater,SingleThreadedFeedUpdater,updateSubscription,Complex Conditional
java,org.apache.roller.planet.business.updater,SingleThreadedFeedUpdater,updateSubscription,Long Statement
java,org.apache.roller.planet.business.updater,SingleThreadedFeedUpdater,updateSubscription,Long Statement
java,org.apache.roller.planet.pojos,PlanetGroup,getRecentEntries,Magic Number
java,org.apache.roller.planet.util,MailUtil,sendMessage,Complex Method
java,org.apache.roller.planet.util,MailUtil,sendMessage,Long Parameter List
java,org.apache.roller.planet.util,MailUtil,sendTextMessage,Long Parameter List
java,org.apache.roller.planet.util,MailUtil,sendTextMessage,Long Parameter List
java,org.apache.roller.planet.util,MailUtil,sendTextMessage,Long Parameter List
java,org.apache.roller.planet.util,MailUtil,sendHTMLMessage,Long Parameter List
java,org.apache.roller.planet.util,MailUtil,sendHTMLMessage,Long Parameter List
java,org.apache.roller.planet.util,MailUtil,sendHTMLMessage,Long Parameter List
java,org.apache.roller.util,DateUtil,getNoonOfDay,Magic Number
java,org.apache.roller.util,DateUtil,formatIso8601,Magic Number
java,org.apache.roller.util,DateUtil,formatIso8601,Magic Number
java,org.apache.roller.util,DateUtil,parseWeblogURLDateString,Complex Conditional
java,org.apache.roller.util,DateUtil,parseWeblogURLDateString,Complex Conditional
java,org.apache.roller.util,DateUtil,parseWeblogURLDateString,Magic Number
java,org.apache.roller.util,DateUtil,parseWeblogURLDateString,Magic Number
java,org.apache.roller.util,ISO8601DateParser,parse,Magic Number
java,org.apache.roller.util,ISO8601DateParser,toString,Magic Number
java,org.apache.roller.util,ISO8601DateParser,toString,Magic Number
java,org.apache.roller.util,PropertyExpander,expandProperties,Magic Number
java,org.apache.roller.util,RegexUtil,obfuscateEmail,Magic Number
java,org.apache.roller.util,RegexUtil,obfuscateEmail,Magic Number
java,org.apache.roller.util,RegexUtil,obfuscateEmail,Magic Number
java,org.apache.roller.util,RegexUtil,obfuscateEmail,Magic Number
java,org.apache.roller.util,RegexUtil,obfuscateEmail,Magic Number
java,org.apache.roller.util,RegexUtil,encode,Magic Number
java,org.apache.roller.util,RegexUtil,encode,Magic Number
java,org.apache.roller.weblogger.business,AbstractURLStrategy,getActionURL,Long Parameter List
java,org.apache.roller.weblogger.business,DatabaseProvider,DatabaseProvider,Long Statement
java,org.apache.roller.weblogger.business,DatabaseProvider,DatabaseProvider,Long Statement
java,org.apache.roller.weblogger.business,DatabaseProvider,DatabaseProvider,Long Statement
java,org.apache.roller.weblogger.business,FileContentManager,canSave,Long Parameter List
java,org.apache.roller.weblogger.business,FileContentManagerImpl,canSave,Long Parameter List
java,org.apache.roller.weblogger.business,FileContentManagerImpl,getDirSize,Complex Conditional
java,org.apache.roller.weblogger.business,FileContentManagerImpl,checkFileType,Complex Method
java,org.apache.roller.weblogger.business,GuiceWebloggerProvider,GuiceWebloggerProvider,Long Statement
java,org.apache.roller.weblogger.business,GuiceWebloggerProvider,GuiceWebloggerProvider,Long Statement
java,org.apache.roller.weblogger.business,HitCountQueue,HitCountQueue,Magic Number
java,org.apache.roller.weblogger.business,MailProvider,getTransport,Complex Conditional
java,org.apache.roller.weblogger.business,MultiWeblogURLStrategy,getWeblogCommentURL,Long Parameter List
java,org.apache.roller.weblogger.business,MultiWeblogURLStrategy,getWeblogCollectionURL,Complex Method
java,org.apache.roller.weblogger.business,MultiWeblogURLStrategy,getWeblogCollectionURL,Long Parameter List
java,org.apache.roller.weblogger.business,MultiWeblogURLStrategy,getWeblogPageURL,Long Parameter List
java,org.apache.roller.weblogger.business,MultiWeblogURLStrategy,getWeblogFeedURL,Long Parameter List
java,org.apache.roller.weblogger.business,MultiWeblogURLStrategy,getWeblogSearchURL,Long Parameter List
java,org.apache.roller.weblogger.business,PreviewURLStrategy,getWeblogCollectionURL,Complex Method
java,org.apache.roller.weblogger.business,PreviewURLStrategy,getWeblogCollectionURL,Long Parameter List
java,org.apache.roller.weblogger.business,PreviewURLStrategy,getWeblogPageURL,Complex Method
java,org.apache.roller.weblogger.business,PreviewURLStrategy,getWeblogPageURL,Long Parameter List
java,org.apache.roller.weblogger.business,TestTask,getLeaseTime,Magic Number
java,org.apache.roller.weblogger.business,TestTask,getInterval,Magic Number
java,org.apache.roller.weblogger.business,UserManager,getUsers,Long Parameter List
java,org.apache.roller.weblogger.business,WeblogEntryManager,getMostCommentedWeblogEntries,Long Parameter List
java,org.apache.roller.weblogger.business,WeblogEntryManager,removeMatchingComments,Long Parameter List
java,org.apache.roller.weblogger.business,WeblogEntryManager,getTags,Long Parameter List
java,org.apache.roller.weblogger.business,WebloggerFactory,bootstrap,Long Statement
java,org.apache.roller.weblogger.business,WebloggerImpl,WebloggerImpl,Long Parameter List
java,org.apache.roller.weblogger.business,WeblogManager,getWeblogs,Long Parameter List
java,org.apache.roller.weblogger.business,WeblogServiceImpl,getBookmarkFolder,Complex Conditional
java,org.apache.roller.weblogger.business,WeblogServiceImpl,getWeblogConfig,Long Statement
java,org.apache.roller.weblogger.business.jpa,JPAAutoPingManagerImpl,removeAutoPing,Magic Number
java,org.apache.roller.weblogger.business.jpa,JPABookmarkManagerImpl,saveFolder,Complex Conditional
java,org.apache.roller.weblogger.business.jpa,JPABookmarkManagerImpl,importOpmlElement,Complex Method
java,org.apache.roller.weblogger.business.jpa,JPABookmarkManagerImpl,getFolder,Long Statement
java,org.apache.roller.weblogger.business.jpa,JPABookmarkManagerImpl,getFolder,Magic Number
java,org.apache.roller.weblogger.business.jpa,JPABookmarkManagerImpl,getDefaultFolder,Long Statement
java,org.apache.roller.weblogger.business.jpa,JPABookmarkManagerImpl,getDefaultFolder,Magic Number
java,org.apache.roller.weblogger.business.jpa,JPABookmarkManagerImpl,getAllFolders,Long Statement
